aclnnAbs	ops-math	math
aclnnAcosh	ops-math	experimental
aclnnAcosh	ops-math	math
aclnnAcos	ops-math	experimental
aclnnAcos	ops-math	math
aclnnAdaLayerNormBackward	ops-nn	norm
aclnnAdaLayerNorm	ops-nn	norm
aclnnAdaLayerNormQuant	ops-nn	norm
aclnnAdaLayerNormV2	ops-nn	norm
aclnnAdaptiveAvgPool2dBackward	ops-nn	pooling
aclnnAdaptiveAvgPool2d	ops-nn	pooling
aclnnAdaptiveAvgPool3dBackward	ops-nn	pooling
aclnnAdaptiveAvgPool3d	ops-nn	pooling
aclnnAdaptiveMaxPool2dBackward	ops-nn	pooling
aclnnAdaptiveMaxPool2d	ops-nn	pooling
aclnnAdaptiveMaxPool3dBackward	ops-nn	pooling
aclnnAdaptiveMaxPool3d	ops-nn	pooling
aclnnAddbmm	ops-nn	matmul
aclnnAddcdiv	ops-math	experimental
aclnnAddcdiv	ops-math	math
aclnnAddcmul	ops-math	experimental
aclnnAddcmul	ops-math	math
aclnnAddLayerNormGrad	ops-nn	norm
aclnnAddLayerNorm	ops-nn	norm
aclnnAddLayerNormQuant	ops-nn	norm
aclnnAddLora	ops-math	math
aclnnAddmm	ops-nn	matmul
aclnnAddmmWeightNz	ops-nn	matmul
aclnnAddmv	ops-nn	matmul
aclnnAdd	ops-math	math
aclnnAddRelu	ops-nn	activation
aclnnAddRmsNormCast	ops-nn	norm
aclnnAddRmsNormDynamicMxQuant	ops-nn	norm
aclnnAddRmsNormDynamicQuant	ops-nn	norm
aclnnAddRmsNormDynamicQuantV2	ops-nn	norm
aclnnAddRmsNorm	ops-nn	norm
aclnnAddRmsNormQuant	ops-nn	norm
aclnnAddRmsNormQuantV2	ops-nn	norm
aclnnAddr	ops-math	math
aclnnAdds	ops-math	math
aclnnAddV3	ops-math	math
aclnnAdvanceStep	ops-nn	optim
aclnnAdvanceStepV2	ops-nn	optim
aclnnAffineGrid	ops-math	math
aclnnAllGatherAdd	ops-transformer	examples
aclnnAllGatherMatmul	ops-transformer	mc2
aclnnAllGatherMatmulV2	ops-transformer	mc2
aclnnAll	ops-math	math
aclnnAlltoAllAllGatherBatchMatMul	ops-transformer	mc2
aclnnAlltoAllMatmul	ops-transformer	mc2
aclnnAlltoAllQuantMatmul	ops-transformer	mc2
aclnnAlltoAllvGroupedMatMul	ops-transformer	mc2
aclnnAlltoAllvQuantGroupedMatMul	ops-transformer	mc2
aclnnAmax	ops-math	math
aclnnAminmaxAll	ops-math	math
aclnnAminmaxDim	ops-math	math
aclnnAminmax	ops-math	math
aclnnAmin	ops-math	math
aclnnAngleV2	ops-math	math
aclnnAny	ops-math	math
aclnnApplyAdam	ops-nn	optim
aclnnApplyAdamW	ops-nn	optim
aclnnApplyAdamWQuant	ops-nn	optim
aclnnApplyAdamWV2	ops-nn	optim
aclnnApplyFusedEmaAdam	ops-nn	optim
aclnnApplyRotaryPosEmb	ops-transformer	posembedding
aclnnApplyRotaryPosEmbV2	ops-transformer	posembedding
aclnnApplyTopKTopP	ops-nn	index
aclnnArange	ops-math	math
aclnnArgMax	ops-math	math
aclnnArgMin	ops-math	math
aclnnArgsort	ops-math	math
aclnnAscendAntiQuant	ops-nn	quant
aclnnAscendQuant	ops-nn	quant
aclnnAscendQuantV3	ops-nn	quant
aclnnAsinh	ops-math	experimental
aclnnAsinh	ops-math	math
aclnnAsin	ops-math	math
aclnnAtan2	ops-math	math
aclnnAtanh	ops-math	math
aclnnAtan	ops-math	experimental
aclnnAtan	ops-math	math
aclnnAttentionToFFN	ops-transformer	mc2
aclnnAttentionUpdate	ops-transformer	attention
aclnnAvgPool2dBackward	ops-nn	pooling
aclnnAvgPool2d	ops-nn	pooling
aclnnAvgPool3dBackward	ops-nn	pooling
aclnnAvgPool3d	ops-nn	pooling
aclnnAxpyV2	ops-math	experimental
aclnnBackgroundReplace	ops-cv	objdetect
aclnnBaddbmm	ops-nn	matmul
aclnnBatchMatMul	ops-nn	matmul
aclnnBatchMatmulQuant	ops-nn	matmul
aclnnBatchMatMulReduceScatterAlltoAll	ops-transformer	mc2
aclnnBatchMatMulWeightNz	ops-nn	matmul
aclnnBatchNormBackward	ops-nn	norm
aclnnBatchNormElemtBackward	ops-nn	norm
aclnnBatchNormElemt	ops-nn	norm
aclnnBatchNormGatherStatsWithCounts	ops-nn	norm
aclnnBatchNorm	ops-nn	norm
aclnnBatchNormReduceBackward	ops-nn	norm
aclnnBatchNormReduce	ops-nn	norm
aclnnBatchNormStats	ops-math	math
aclnnBernoulli	ops-math	random
aclnnBernoulliTensor	ops-math	random
aclnnBidirectionLSTM	ops-nn	rnn
aclnnBidirectionLSTMV2	ops-nn	rnn
aclnnBinaryCrossEntropyBackward	ops-nn	loss
aclnnBinaryCrossEntropy	ops-nn	loss
aclnnBinaryCrossEntropyWithLogitsBackward	ops-nn	loss
aclnnBinaryCrossEntropyWithLogits	ops-nn	loss
aclnnBinaryCrossEntropyWithLogitsTargetBackward	ops-nn	activation
aclnnBincount	ops-math	math
aclnnBitwiseAndScalar	ops-math	experimental
aclnnBitwiseAndScalar	ops-math	math
aclnnBitwiseAndTensor	ops-math	experimental
aclnnBitwiseAndTensor	ops-math	math
aclnnBitwiseAndTensorOut	ops-math	math
aclnnBitwiseNot	ops-math	math
aclnnBitwiseOrScalar	ops-math	math
aclnnBitwiseOrTensor	ops-math	math
aclnnBitwiseXorScalar	ops-math	math
aclnnBitwiseXorTensor	ops-math	math
aclnnBlendImagesCustom	ops-cv	objdetect
aclnnBlitzSparseAttention	ops-transformer	experimental
aclnnBlockSparseAttentionGrad	ops-transformer	attention
aclnnBlockSparseAttention	ops-transformer	attention
aclnnCalculateConvolutionWeightSize	ops-math	conversion
aclnnCalculateMatmulWeightSize	ops-math	conversion
aclnnCalculateMatmulWeightSizeV2	ops-math	conversion
aclnnCast	ops-math	experimental
aclnnCast	ops-math	math
aclnnCat	ops-math	conversion
aclnnCdistBackward	ops-math	experimental
aclnnCdistBackward	ops-math	math
aclnnCdist	ops-math	math
aclnnCeil	ops-math	math
aclnnCelu	ops-nn	activation
aclnnChamferDistanceBackward	ops-nn	loss
aclnnChannelShuffle	ops-math	conversion
aclnnChunkCat	ops-math	conversion
aclnnCIoU	ops-cv	objdetect
aclnnCircularPad2dBackward	ops-math	conversion
aclnnCircularPad2d	ops-math	conversion
aclnnCircularPad3dBackward	ops-math	conversion
aclnnCircularPad3d	ops-math	conversion
aclnnClampMax	ops-math	conversion
aclnnClampMax	ops-math	experimental
aclnnClampMaxTensor	ops-math	conversion
aclnnClampMaxTensor	ops-math	experimental
aclnnClampMin	ops-math	conversion
aclnnClampMin	ops-math	experimental
aclnnClampMinTensor	ops-math	conversion
aclnnClampMinTensor	ops-math	experimental
aclnnClamp	ops-math	conversion
aclnnClamp	ops-math	experimental
aclnnClampTensor	ops-math	conversion
aclnnClampTensor	ops-math	experimental
aclnnClippedSwiglu	ops-nn	activation
aclnnCoalesceSparse	ops-math	conversion
aclnnComplex	ops-math	math
aclnnConfusionTranspose	ops-math	conversion
aclnnConstantPadNd	ops-math	conversion
aclnnConvDepthwise2d	ops-nn	conv
aclnnConvertWeightToINT4Pack	ops-nn	matmul
aclnnConvolutionBackward	ops-nn	conv
aclnnConvolution	ops-nn	conv
aclnnConvTbcBackward	ops-nn	conv
aclnnConvTbc	ops-nn	conv
aclnnCosh	ops-math	math
aclnnCos	ops-math	experimental
aclnnCos	ops-math	math
aclnnCrossEntropyLossGrad	ops-nn	loss
aclnnCrossEntropyLoss	ops-nn	loss
aclnnCtcLossBackward	ops-nn	loss
aclnnCtcLoss	ops-nn	loss
aclnnCummax	ops-math	math
aclnnCummin	ops-math	math
aclnnCumprod	ops-math	math
aclnnCumsum	ops-math	math
aclnnCumsumV2	ops-math	math
aclnnDeepNormGrad	ops-nn	norm
aclnnDeepNorm	ops-nn	norm
aclnnDeformableConv2d	ops-nn	conv
aclnnDenseLightningIndexerGradKLLoss	ops-transformer	attention
aclnnDenseLightningIndexerSoftmaxLse	ops-transformer	attention
aclnnDequantBias	ops-nn	quant
aclnnDequantRopeQuantKvcache	ops-transformer	posembedding
aclnnDequantSwigluQuant	ops-nn	quant
aclnnDequantSwigluQuantV2	ops-nn	quant
aclnnDiagFlat	ops-math	conversion
aclnnDiag	ops-math	conversion
aclnnDigamma	ops-math	math
aclnnDistributeBarrier	ops-transformer	mc2
aclnnDistributeBarrierV2	ops-transformer	mc2
aclnnDivMod	ops-math	math
aclnnDivMods	ops-math	math
aclnnDiv	ops-math	math
aclnnDivs	ops-math	math
aclnnDivV3	ops-math	experimental
aclnnDot	ops-math	math
aclnnDropoutBackward	ops-math	random
aclnnDropoutDoMask	ops-math	random
aclnnDropoutGenMask	ops-math	random
aclnnDropoutGenMaskV2	ops-math	random
aclnnDropoutGenMaskV2Tensor	ops-math	random
aclnnDropout	ops-math	random
aclnnDropoutV3	ops-math	random
aclnnDualLevelQuantMatmulWeightNz	ops-nn	matmul
aclnnDynamicBlockMxQuant	ops-nn	quant
aclnnDynamicBlockQuant	ops-nn	quant
aclnnDynamicBlockQuantV2	ops-nn	quant
aclnnDynamicDualLevelMxQuant	ops-nn	quant
aclnnDynamicMxQuant	ops-nn	quant
aclnnDynamicMxQuantV2	ops-nn	quant
aclnnDynamicMxQuantWithDualAxis	ops-nn	quant
aclnnDynamicQuant	ops-nn	quant
aclnnDynamicQuantV2	ops-nn	quant
aclnnDynamicQuantV3	ops-nn	quant
aclnnDynamicQuantV4	ops-nn	quant
aclnnEinsum	ops-nn	matmul
aclnnEluBackward	ops-nn	activation
aclnnElu	ops-nn	activation
aclnnEmbeddingBag	ops-nn	index
aclnnEmbeddingDenseBackward	ops-nn	index
aclnnEmbedding	ops-nn	index
aclnnEmbeddingRenorm	ops-nn	index
aclnnEqScalar	ops-math	math
aclnnEqTensor	ops-math	math
aclnnEqual	ops-math	math
aclnnErfc	ops-math	math
aclnnErfinv	ops-nn	activation
aclnnErf	ops-math	experimental
aclnnErf	ops-math	math
aclnnExp2	ops-math	math
aclnnExpandIntoJaggedPermute	ops-nn	index
aclnnExpand	ops-math	math
aclnnExpandv	ops-math	experimental
aclnnExpm1	ops-math	math
aclnnExp	ops-math	experimental
aclnnExp	ops-math	math
aclnnExpSegsumBackward	ops-math	math
aclnnExpSegsum	ops-math	math
aclnnEye	ops-math	math
aclnnFakeQuantPerChannelAffineCachemask	ops-nn	quant
aclnnFakeQuantPerTensorAffineCachemask	ops-nn	quant
aclnnFastBatchNormBackward	ops-nn	norm
aclnnFastGeluBackward	ops-nn	activation
aclnnFastGelu	ops-nn	activation
aclnnFastGeluV2	ops-nn	experimental
aclnnFastLayerNorm	ops-nn	norm
aclnnFatreluMul	ops-nn	activation
aclnnFFN	ops-transformer	ffn
aclnnFFNToAttention	ops-transformer	mc2
aclnnFFNV2	ops-transformer	ffn
aclnnFFNV3	ops-transformer	ffn
aclnnFlashAttentionScoreGrad	ops-transformer	attention
aclnnFlashAttentionScoreGradV2	ops-transformer	attention
aclnnFlashAttentionScoreGradV3	ops-transformer	attention
aclnnFlashAttentionScoreGradV4	ops-transformer	attention
aclnnFlashAttentionScore	ops-transformer	attention
aclnnFlashAttentionScoreV2	ops-transformer	attention
aclnnFlashAttentionScoreV3	ops-transformer	attention
aclnnFlashAttentionScoreV4	ops-transformer	attention
aclnnFlashAttentionUnpaddingScoreGrad	ops-transformer	attention
aclnnFlashAttentionUnpaddingScoreGradV2	ops-transformer	attention
aclnnFlashAttentionUnpaddingScoreGradV3	ops-transformer	attention
aclnnFlashAttentionUnpaddingScoreGradV4	ops-transformer	attention
aclnnFlashAttentionUnpaddingScoreGradV5	ops-transformer	attention
aclnnFlashAttentionVarLenScore	ops-transformer	attention
aclnnFlashAttentionVarLenScoreV2	ops-transformer	attention
aclnnFlashAttentionVarLenScoreV3	ops-transformer	attention
aclnnFlashAttentionVarLenScoreV4	ops-transformer	attention
aclnnFlashAttentionVarLenScoreV5	ops-transformer	attention
aclnnFlatQuant	ops-nn	quant
aclnnFlatten	ops-math	conversion
aclnnFlip	ops-nn	index
aclnnFloorDivide	ops-math	math
aclnnFloorDivides	ops-math	math
aclnnFloorDiv	ops-math	experimental
aclnnFloor	ops-math	experimental
aclnnFloor	ops-math	math
aclnnFmodScalar	ops-math	math
aclnnFmodTensor	ops-math	math
aclnnForeachAbs	ops-nn	foreach
aclnnForeachAcos	ops-nn	foreach
aclnnForeachAddcdivList	ops-nn	foreach
aclnnForeachAddcdivScalarList	ops-nn	foreach
aclnnForeachAddcdivScalar	ops-nn	foreach
aclnnForeachAddcdivScalarV2	ops-nn	foreach
aclnnForeachAddcmulList	ops-nn	foreach
aclnnForeachAddcmulScalarList	ops-nn	foreach
aclnnForeachAddcmulScalar	ops-nn	foreach
aclnnForeachAddcmulScalarV2	ops-nn	foreach
aclnnForeachAddList	ops-nn	foreach
aclnnForeachAddListV2	ops-nn	foreach
aclnnForeachAddScalarList	ops-nn	foreach
aclnnForeachAddScalar	ops-nn	foreach
aclnnForeachAddScalarV2	ops-nn	foreach
aclnnForeachAsin	ops-nn	foreach
aclnnForeachAtan	ops-nn	foreach
aclnnForeachCopy	ops-nn	foreach
aclnnForeachCosh	ops-nn	foreach
aclnnForeachCos	ops-nn	foreach
aclnnForeachDivList	ops-nn	foreach
aclnnForeachDivScalarList	ops-nn	foreach
aclnnForeachDivScalar	ops-nn	foreach
aclnnForeachDivScalarV2	ops-nn	foreach
aclnnForeachErfc	ops-nn	foreach
aclnnForeachErf	ops-nn	foreach
aclnnForeachExpm1	ops-nn	foreach
aclnnForeachExp	ops-nn	foreach
aclnnForeachLerpList	ops-nn	foreach
aclnnForeachLerpScalar	ops-nn	foreach
aclnnForeachLog10	ops-nn	foreach
aclnnForeachLog1p	ops-nn	foreach
aclnnForeachLog2	ops-nn	foreach
aclnnForeachLog	ops-nn	foreach
aclnnForeachMaximumList	ops-nn	foreach
aclnnForeachMaximumScalarList	ops-nn	foreach
aclnnForeachMaximumScalar	ops-nn	foreach
aclnnForeachMaximumScalarV2	ops-nn	foreach
aclnnForeachMinimumList	ops-nn	foreach
aclnnForeachMinimumScalarList	ops-nn	foreach
aclnnForeachMinimumScalar	ops-nn	foreach
aclnnForeachMinimumScalarV2	ops-nn	foreach
aclnnForeachMulList	ops-nn	foreach
aclnnForeachMulScalarList	ops-nn	foreach
aclnnForeachMulScalar	ops-nn	foreach
aclnnForeachMulScalarV2	ops-nn	foreach
aclnnForeachNeg	ops-nn	foreach
aclnnForeachNonFiniteCheckAndUnscale	ops-nn	foreach
aclnnForeachNorm	ops-nn	foreach
aclnnForeachPowList	ops-nn	foreach
aclnnForeachPowScalarAndTensor	ops-nn	foreach
aclnnForeachPowScalarList	ops-nn	foreach
aclnnForeachPowScalar	ops-nn	foreach
aclnnForeachPowScalarV2	ops-nn	foreach
aclnnForeachReciprocal	ops-nn	foreach
aclnnForeachRoundOffNumber	ops-nn	foreach
aclnnForeachRoundOffNumberV2	ops-nn	foreach
aclnnForeachSigmoid	ops-nn	foreach
aclnnForeachSign	ops-nn	foreach
aclnnForeachSinh	ops-nn	foreach
aclnnForeachSin	ops-nn	foreach
aclnnForeachSqrt	ops-nn	foreach
aclnnForeachSubList	ops-nn	foreach
aclnnForeachSubListV2	ops-nn	foreach
aclnnForeachSubScalarList	ops-nn	foreach
aclnnForeachSubScalar	ops-nn	foreach
aclnnForeachSubScalarV2	ops-nn	foreach
aclnnForeachTanh	ops-nn	foreach
aclnnForeachTan	ops-nn	foreach
aclnnForeachZeroInplace	ops-nn	foreach
aclnnFrac	ops-math	math
aclnnFusedCausalConv1d	ops-transformer	attention
aclnnFusedCrossEntropyLossWithMaxSum	ops-nn	loss
aclnnFusedFloydAttentionGrad	ops-transformer	attention
aclnnFusedFloydAttention	ops-transformer	attention
aclnnFusedInferAttentionScore	ops-transformer	attention
aclnnFusedInferAttentionScoreV2	ops-transformer	attention
